name,score,evaluate,meta,url,cover_url
Python入门经典 : 以解决计算问题为导向的Python编程实践,8.2,86,"(美)WilliamF.Punch,RichardEnbody,张敏,机械工业出版社,2012-8-1,79.00元",https://book.douban.com/subject/11610789/,https://img3.doubanio.com/view/subject/l/public/s11430346.jpg
"学习Python : Learning Python, Second Edition",8.2,127,"MarkLutz,DavidAscher,东南大学出版社,2005年6月,68.00元",https://book.douban.com/subject/1426816/,https://img3.doubanio.com/view/subject/l/public/s1436455.jpg
Python自然语言处理,8.2,164,"(英)伯德,(英)克莱因,(美)洛普,东南大学出版社,2010-6,64.00元",https://book.douban.com/subject/5336893/,https://img1.doubanio.com/view/subject/l/public/s6237088.jpg
Python数据分析实战,8.2,21,"【意】内利,杜春晓,人民邮电出版社,2016-8-1,CNY59.00",https://book.douban.com/subject/26854249/,https://img3.doubanio.com/view/subject/l/public/s29393076.jpg
Python高手之路 第3版,8.2,12,"JulienDanjou,王飞龙,人民邮电出版社,2016-11",https://book.douban.com/subject/26932642/,https://img3.doubanio.com/view/subject/l/public/s29302111.jpg
Python数据分析,8.2,19,"麦金尼(WesMcKinney),东南大学出版社,2013-5-1,CNY74.00",https://book.douban.com/subject/26274624/,https://img3.doubanio.com/view/subject/l/public/s27909013.jpg
像计算机科学家一样思考Python,8.1,168,"(美)AllenB.Downey,赵普明,人民邮电出版社,2013-8,49",https://book.douban.com/subject/25728189/,https://img3.doubanio.com/view/subject/l/public/s27053465.jpg
Python编程 第4版 影印版 上下册 : Python编程,8.1,15,"鲁兹,东南大学出版社,2011-5,148.00元",https://book.douban.com/subject/6710638/,https://img3.doubanio.com/view/subject/l/public/s6774835.jpg
Python科学计算(第2版),8.1,23,"张若愚,清华大学出版社,2016-4-29,118",https://book.douban.com/subject/26784317/,https://img3.doubanio.com/view/subject/l/public/s28746611.jpg
机器学习实战,8.1,812,"PeterHarrington,李锐,李鹏,曲亚东,王斌,人民邮电出版社,2013-6,69.00元",https://book.douban.com/subject/24703171/,https://img3.doubanio.com/view/subject/l/public/s26696371.jpg
GAE编程指南,8.1,42,"DanSanderson,唐学韬,何继业,机械工业出版社华章公司,2010-12-1,65.00元",https://book.douban.com/subject/5380976/,https://img3.doubanio.com/view/subject/l/public/s4552843.jpg
Python基础教程,8.0,1650,"MagnusLieHetland,司维,曾军崴,谭颖华,人民邮电出版社,2010-7,69.00元",https://book.douban.com/subject/4866934/,https://img3.doubanio.com/view/subject/l/public/s4387251.jpg
Python高手之路,8.0,85,"JulienDanjou,王飞龙,人民邮电出版社,2015-5,49.00元",https://book.douban.com/subject/26389274/,https://img3.doubanio.com/view/subject/l/public/s28072805.jpg
Python核心编程（第3版）,8.0,103,"[美]WesleyChun,孙波翔,李斌,李晗,人民邮电出版社,2016-5,CNY99.00",https://book.douban.com/subject/26801374/,https://img3.doubanio.com/view/subject/l/public/s28754071.jpg
