name,score,evaluate,meta,url,cover_url
Python Tutorial,8.7,190,"GuidoVanRossum,FredL.Drake,Jr(editor),IuniverseInc,April2000,USD12.95",https://book.douban.com/subject/3142908/,https://img3.doubanio.com/view/subject/l/public/s4251645.jpg
像计算机科学家一样思考Python (第2版),8.7,41,"[美]艾伦B.唐尼,赵普明,人民邮电出版社,2016-7,49.00",https://book.douban.com/subject/26870407/,https://img3.doubanio.com/view/subject/l/public/s29031253.jpg
Python for Informatics : Exploring Information,8.7,95,"Dr.CharlesRSeverance,CreateSpaceIndependentPublishingPlatform,2013-9-2,USD9.99",https://book.douban.com/subject/25892709/,https://img1.doubanio.com/view/subject/l/public/s27289138.jpg
Think Python : An Introduction to Software Design: How To Think Like A Computer,8.7,31,"AllenB.Downey,CreateSpace,2009-02-27,USD22.95",https://book.douban.com/subject/3666230/,https://img3.doubanio.com/view/subject/l/public/s3723622.jpg
面向ArcGIS的Python脚本编程,8.7,14,"[美]PaulA.Zandbergen赞德伯根,李明巨刘昱君,陶旸张磊,人民邮电出版社,2014-10-1,CNY49.00",https://book.douban.com/subject/26290313/,https://img3.doubanio.com/view/subject/l/public/s27984651.jpg
Think Python : How to Think Like a Computer Scientist,8.7,32,"AllenB.Downey,O'ReillyMedia,2015-12-28,USD44.99",https://book.douban.com/subject/26634683/,https://img3.doubanio.com/view/subject/l/public/s28369222.jpg
Python网络爬虫从入门到实践,8.7,13,"唐松,陈智铨,机械工业出版社,2017-9-1",https://book.douban.com/subject/27138747/,https://img3.doubanio.com/view/subject/l/public/s29542423.jpg
Hello World! Computer Programming for Kids and Other Beginners,8.7,38,"WarrenSande,CarterSande,ManningPublications,2009-5-5,USD34.99",https://book.douban.com/subject/3120623/,https://img3.doubanio.com/view/subject/l/public/s5616055.jpg
Open Stack设计与实现,8.7,42,"英特尔开源技术中心,电子工业出版社,2015-5,79.00元",https://book.douban.com/subject/26374647/,https://img3.doubanio.com/view/subject/l/public/s28303240.jpg
Python Cookbook : （第2版）中文版,8.6,336,"AlexMartelli,AnnaRavenscroft,DavidAscher,高铁军,人民邮电出版社,2010-5-1,99.00元",https://book.douban.com/subject/4828875/,https://img3.doubanio.com/view/subject/l/public/s4357883.jpg
学习PYTHON 第三版(英文影印版) : LEARNING PYTHON， 3RD EDITION,8.6,58,"(美国)(Lutz.M.)卢茨,东南大学出版社,2008-8-1,88.00元",https://book.douban.com/subject/3243372/,https://img3.doubanio.com/view/subject/l/public/s3339773.jpg
Dive Into Python 3,8.6,172,"MarkPilgrim,Apress,2009-11-6,USD44.99",https://book.douban.com/subject/3628911/,https://img3.doubanio.com/view/subject/l/public/s4059293.jpg
Cython : A Guide for Python Programmers,8.6,11,"KurtW.Smith,O'ReillyMedia,2015-1-31,USD29.99",https://book.douban.com/subject/26250831/,https://img3.doubanio.com/view/subject/l/public/s28265042.jpg
High Performance Python : Practical Performant Programming for Humans,8.6,33,"MichaGorelick,IanOzsvald,O'ReillyMedia,2014-9-10,USD39.99",https://book.douban.com/subject/24641620/,https://img3.doubanio.com/view/subject/l/public/s28265052.jpg
Python Essential Reference : 4th Edition. Developer's Library,8.6,47,"DavidM.Beazley,Addison-WesleyProfessional,2009-07-19,USD49.99",https://book.douban.com/subject/3273420/,https://img3.doubanio.com/view/subject/l/public/s4248812.jpg
"Python for Data Analysis : Data Wrangling with Pandas, NumPy, and IPython",8.6,29,"WesMcKinney,O'ReillyMedia,2017-9-25,USD49.99",https://book.douban.com/subject/27011335/,https://img3.doubanio.com/view/subject/l/public/s29416955.jpg
The Definitive Guide to Django : Web Development Done Right,8.6,159,"AdrianHolovaty,JacobKaplan-Moss,Apress,2007-12-06,CAD45.14",https://book.douban.com/subject/1798896/,https://img3.doubanio.com/view/subject/l/public/s3021613.jpg
利用Python进行数据分析,8.5,763,"WesMcKinney,唐学韬,机械工业出版社,2013-11-18,89.00",https://book.douban.com/subject/25779298/,https://img3.doubanio.com/view/subject/l/public/s27275372.jpg
父与子的编程之旅 : 与小卡特一起学Python,8.5,131,"桑德(WarrenSande),桑德(CarterSande),苏金国,易郑超,人民邮电出版社,2014-10-1,CNY69.00",https://book.douban.com/subject/26005639/,https://img3.doubanio.com/view/subject/l/public/s28825823.jpg
Selenium 2自动化测试实战 : 基于Python语言,8.5,59,"虫师,电子工业出版社,2016-1-1,CNY59.00",https://book.douban.com/subject/26713240/,https://img3.doubanio.com/view/subject/l/public/s28704392.jpg
How to Think Like a Computer Scientist: Learning with Python,8.5,137,"AllenB.Downey,JeffreyElkner,ChrisMeyers,GreenTeaPress,2002-1-4,USD24.95",https://book.douban.com/subject/1481058/,https://img3.doubanio.com/view/subject/l/public/s1498716.jpg
程序设计导论 : Python语言实践,8.5,12,"罗伯特·塞奇威克(RobertSedgewick),凯文·书恩(KevinWayne),罗伯特·唐德罗(RobertDondero),江红,余青松,机械工业出版社,2016-11-1,CNY79.00",https://book.douban.com/subject/26927659/,https://img3.doubanio.com/view/subject/l/public/s29193691.jpg
"Beginning Python : From Novice to Professional, Second Edition",8.5,42,"MagnusLieHetland,Apress,2008,$45",https://book.douban.com/subject/3205338/,https://img1.doubanio.com/view/subject/l/public/s8365688.jpg
Invent Your Own Computer Games With Python,8.5,26,"AlSweigart,Albert\Sweigart,2010-5-1,GBP15.74",https://book.douban.com/subject/5363255/,https://img3.doubanio.com/view/subject/l/public/s29624050.jpg
"Learning Python, 5th Edition",8.5,14,"MarkLutz,O'ReillyMedia,2013-6-26,$47.99",https://book.douban.com/subject/24878044/,https://img1.doubanio.com/view/subject/l/public/s26910408.jpg
Python for Everybody : Exploring Data in Python 3,8.5,14,"Dr.CharlesRussellSeverance,CreateSpaceIndependentPublishingPlatform,2016-4-9,USD9.99",https://book.douban.com/subject/26914378/,https://img3.doubanio.com/view/subject/l/public/s29149564.jpg
Python Cookbook,8.5,15,"AlexMartelli,DavidAscher,O'Reilly,2002",https://book.douban.com/subject/2085477/,https://img3.doubanio.com/view/subject/l/public/s2413354.jpg
与孩子一起学编程,8.5,340,"[美]桑德WarrenSande,CarterSande,苏金国,姚曜等,人民邮电出版社,2010-11,65.00元",https://book.douban.com/subject/5338024/,https://img3.doubanio.com/view/subject/l/public/s4518521.jpg
Machine Learning in Action,8.5,171,"PeterHarrington,ManningPublications,2012-4-19,GBP29.99",https://book.douban.com/subject/6962285/,https://img3.doubanio.com/view/subject/l/public/s9015252.jpg
Learning Scrapy,8.5,23,"DimitriosKouzis-Loukas,PacktPublishing-ebooksAccount,2016-1-30,USD34.99",https://book.douban.com/subject/26708820/,https://img1.doubanio.com/view/subject/l/public/s28431839.jpg
Bayesian Methods for Hackers : Probabilistic Programming and Bayesian Methods,8.5,11,"CameronDavidson-Pilon,Addison-WesleyProfessional,2015-5-10,USD39.99",https://book.douban.com/subject/26284941/,https://img3.doubanio.com/view/subject/l/public/s27967092.jpg
Python语言及其应用 : Python语言及其应用,8.4,121,"[美]BillLubanovic,丁嘉瑞,梁　杰,禹常隆,人民邮电出版社,2016-1,79.00元",https://book.douban.com/subject/26675127/,https://img3.doubanio.com/view/subject/l/public/s28352586.jpg
Python标准库,8.4,122,"DougHellmann,刘炽,机械工业出版社华章公司,2012-6-15,139.00元",https://book.douban.com/subject/10773324/,https://img3.doubanio.com/view/subject/l/public/s10245980.jpg
